Frame,Time_Sec,X,Y,Mode,Area,Circularity
396,13.199999999999998,846,552,TRACKING,72.0,0.9227272726407236
399,13.300000000000002,846,552,TRACKING,60.0,0.7689393938672696
402,13.4,846,552,TRACKING,62.0,0.7382922197978818
405,13.499999999999998,844,554,TRACKING,48.0,0.8085181381420813
408,13.6,844,554,TRACKING,44.0,0.8399544390775812
411,13.699999999999998,844,554,TRACKING,42.0,0.7332781295132424
414,13.800000000000002,842,554,TRACKING,50.0,0.5953969514499048
417,13.9,842,554,TRACKING,54.0,0.8363009706092605
420,13.999999999999998,842,554,TRACKING,48.0,0.6858054603098395
423,14.1,842,552,TRACKING,48.0,0.5548791285324387
426,14.199999999999998,842,554,TRACKING,46.0,0.6362380867588685
429,14.300000000000002,840,550,TRACKING,60.0,0.7689393938672696
432,14.4,840,552,TRACKING,42.0,0.7722839969901619
435,14.499999999999998,840,550,TRACKING,50.0,0.6611151885230976
438,14.6,840,552,TRACKING,20.0,0.4623992733111215
441,14.699999999999998,838,552,TRACKING,22.0,0.6587925570046589
444,14.800000000000002,838,554,TRACKING,48.0,0.8085181381420813
447,14.9,838,554,TRACKING,36.0,0.8323186919600187
450,14.999999999999998,836,554,TRACKING,36.0,0.8323186919600187
453,15.1,836,554,TRACKING,22.0,0.7798381254407766
456,15.199999999999998,836,554,TRACKING,42.0,0.8803370121606843
459,15.300000000000002,836,554,TRACKING,42.0,0.8803370121606843
462,15.4,836,554,TRACKING,42.0,0.8803370121606843
465,15.499999999999998,834,552,TRACKING,24.0,0.8085181428902573
468,15.6,834,550,TRACKING,36.0,0.8323186919600187
471,15.699999999999998,834,552,TRACKING,48.0,0.8085181381420813
474,15.800000000000002,834,552,TRACKING,48.0,0.8085181381420813
477,15.9,834,550,TRACKING,50.0,0.7743527505641299
480,15.999999999999998,832,552,TRACKING,50.0,0.7743527505641299
483,16.1,832,554,TRACKING,38.0,0.7964953919549048
486,16.199999999999996,832,554,TRACKING,38.0,0.7964953919549048
489,16.300000000000004,832,554,TRACKING,46.0,0.803114141847837
492,16.4,830,554,TRACKING,32.0,0.8573716100878629
495,16.5,830,556,TRACKING,24.0,0.7539822368615503
498,16.6,830,554,TRACKING,20.0,0.8061450660379307
501,16.699999999999996,828,552,TRACKING,44.0,0.7411416266302412
504,16.800000000000004,828,552,TRACKING,48.0,0.8085181381420813
507,16.9,828,552,TRACKING,52.0,0.8758946496539215
510,17.0,828,550,TRACKING,56.0,0.8384632592936002
513,17.1,828,552,TRACKING,56.0,0.9432711611657616
516,17.199999999999996,826,550,TRACKING,44.0,0.8399544390775812
519,17.300000000000004,826,552,TRACKING,60.0,0.7689393938672696
522,17.4,826,552,TRACKING,68.0,0.7860787654209549
525,17.5,824,554,TRACKING,62.0,0.8575382908489098
528,17.6,824,554,TRACKING,68.0,0.8714646463829057
531,17.699999999999996,824,556,TRACKING,12.0,0.8085181381420813
534,17.800000000000004,824,554,TRACKING,40.0,0.924798546622243
537,17.9,822,556,TRACKING,24.0,0.7539822368615503
540,18.0,822,554,TRACKING,50.0,0.7743527505641299
543,18.1,822,552,TRACKING,66.0,0.91286334187142
546,18.199999999999996,822,552,TRACKING,56.0,0.7176767676094518
549,18.300000000000004,820,552,TRACKING,54.0,0.8363009706092605
552,18.4,820,550,TRACKING,60.0,0.8983534921002858
555,18.5,820,550,TRACKING,56.0,0.8384632592936002
558,18.6,820,552,TRACKING,44.0,0.8399544390775812
561,18.699999999999996,818,552,TRACKING,54.0,0.8363009706092605
564,18.800000000000004,818,554,TRACKING,32.0,0.8573716100878629
567,18.9,818,554,TRACKING,44.0,0.8399544390775812
570,19.0,818,556,TRACKING,30.0,0.7689394011682371
573,19.1,818,554,TRACKING,52.0,0.8758946496539215
576,19.199999999999996,818,554,TRACKING,48.0,0.8085181381420813
579,19.300000000000004,816,552,TRACKING,54.0,0.8363009706092605
582,19.4,816,554,TRACKING,64.0,0.8202020201250877
585,19.5,816,552,TRACKING,50.0,0.6915631377813788
588,19.6,816,552,TRACKING,60.0,0.7689393938672696
591,19.699999999999996,816,552,TRACKING,60.0,0.7689393938672696
594,19.800000000000004,816,552,TRACKING,72.0,0.7255305594341376
597,19.9,814,552,TRACKING,70.0,0.7546169289326092
600,20.0,812,552,TRACKING,44.0,0.8399544390775812
603,20.1,812,554,TRACKING,34.0,0.8198545354117052
606,20.199999999999996,812,554,TRACKING,38.0,0.7964953919549048
609,20.300000000000004,812,556,TRACKING,32.0,0.7398388372977944
612,20.4,810,554,TRACKING,42.0,0.8803370121606843
615,20.5,812,556,TRACKING,20.0,0.8061450660379307
618,20.6,810,552,TRACKING,42.0,0.7722839969901619
621,20.699999999999996,810,554,TRACKING,62.0,0.8575382908489098
624,20.800000000000004,810,550,TRACKING,44.0,0.8399544390775812
627,20.9,810,552,TRACKING,54.0,0.7468881888038891
630,21.0,808,550,TRACKING,62.0,0.8575382908489098
633,21.1,808,550,TRACKING,62.0,0.8575382908489098
636,21.199999999999996,808,552,TRACKING,56.0,0.8384632592936002
639,21.300000000000004,808,552,TRACKING,50.0,0.7743527505641299
642,21.4,806,554,TRACKING,44.0,0.8399544390775812
645,21.5,806,554,TRACKING,32.0,0.8573716100878629
648,21.6,806,556,TRACKING,40.0,0.924798546622243
651,21.699999999999996,806,554,TRACKING,42.0,0.8803370121606843
